Game_Number,Date,Opponent,At_Bats,Hits,Runs,RBI,Home_Runs,Doubles,Triples,Walks,Strikeouts,Stolen_Bases,Game_Average,Cumulative_Average
125,2024-08-21,vs Cleveland Guardians,3,2,2,3,2,0,0,0,0,0,0.667,0.334
126,2024-08-22,vs Cleveland Guardians,3,1,2,1,1,0,0,1,0,0,0.333,0.334
127,2024-08-23,vs Colorado Rockies,4,1,1,1,1,0,0,0,0,0,0.250,0.333
128,2024-08-24,vs Colorado Rockies,2,0,0,0,0,0,0,1,0,0,0.000,0.332
129,2024-08-25,vs Colorado Rockies,4,2,2,3,2,0,0,1,0,0,0.500,0.333
130,2024-08-26,@ Washington Nationals,4,1,0,0,0,0,0,1,1,0,0.250,0.333
131,2024-08-27,@ Washington Nationals,3,1,0,0,0,1,0,1,1,0,0.333,0.333
132,2024-08-28,@ Washington Nationals,2,1,0,1,0,0,0,2,1,1,0.500,0.333
133,2024-08-30,vs St. Louis Cardinals,4,0,0,0,0,0,0,0,3,0,0.000,0.331
134,2024-08-31,vs St. Louis Cardinals,4,1,1,0,0,0,0,1,1,0,0.250,0.330
135,2024-09-01,vs St. Louis Cardinals,4,0,0,0,0,0,0,1,3,0,0.000,0.327
136,2024-09-02,@ Texas Rangers,5,1,1,1,0,1,0,0,2,0,0.200,0.326
137,2024-09-03,@ Texas Rangers,5,1,1,0,0,0,0,0,2,0,0.200,0.324
138,2024-09-04,@ Texas Rangers,3,0,0,0,0,0,0,1,1,0,0.000,0.323
139,2024-09-06,@ Chicago Cubs,3,1,1,1,0,1,0,1,1,0,0.333,0.323
140,2024-09-07,@ Chicago Cubs,3,0,1,0,0,0,0,1,1,1,0.000,0.321
141,2024-09-08,@ Chicago Cubs,3,1,0,0,0,0,0,1,0,0,0.333,0.321
142,2024-09-09,vs Kansas City Royals,4,2,1,1,0,0,0,1,1,0,0.500,0.322
143,2024-09-10,vs Kansas City Royals,4,0,0,0,0,0,0,0,2,0,0.000,0.320
144,2024-09-11,vs Kansas City Royals,3,1,0,0,0,0,0,2,1,0,0.333,0.320
145,2024-09-12,vs Boston Red Sox,4,1,0,0,0,0,0,0,0,0,0.250,0.319
146,2024-09-13,vs Boston Red Sox,3,2,1,4,1,0,0,1,1,0,0.667,0.321
147,2024-09-14,vs Boston Red Sox,4,1,0,0,0,1,0,0,1,0,0.250,0.321
148,2024-09-15,vs Boston Red Sox,2,1,1,2,1,0,0,2,1,1,0.500,0.321
149,2024-09-17,@ Seattle Mariners,4,2,1,4,0,1,0,1,1,0,0.500,0.323
150,2024-09-18,@ Seattle Mariners,3,0,0,0,0,0,0,1,3,0,0.000,0.321
151,2024-09-19,@ Seattle Mariners,3,1,1,0,0,0,0,1,0,1,0.333,0.321
152,2024-09-20,@ Oakland Athletics,3,0,0,0,0,0,0,1,1,0,0.000,0.319
153,2024-09-21,@ Oakland Athletics,3,2,2,1,1,0,0,1,1,0,0.667,0.321
154,2024-09-22,@ Oakland Athletics,3,2,2,1,1,1,0,2,0,0,0.667,0.323
155,2024-09-24,vs Baltimore Orioles,3,1,1,1,1,0,0,1,0,0,0.333,0.323
156,2024-09-25,vs Baltimore Orioles,4,2,1,3,1,0,0,1,0,0,0.500,0.324
157,2024-09-26,vs Baltimore Orioles,2,1,2,2,1,0,0,2,1,0,0.500,0.325
158,2024-09-28,vs Pittsburgh Pirates,5,0,0,0,0,0,0,0,5,0,0.000,0.322
