Game_Number,Date,Opponent,At_Bats,Hits,Runs,RBI,Home_Runs,Doubles,Triples,Walks,Strikeouts,Stolen_Bases,Game_Average,Cumulative_Average
151,2024-09-17,vs Washington Nationals,5,3,2,5,1,1,0,0,1,0,0.600,0.246
152,2024-09-18,vs Washington Nationals,4,1,1,0,0,0,0,0,1,0,0.250,0.246
153,2024-09-19,vs Philadelphia Phillies,4,1,1,1,1,0,0,1,0,0,0.250,0.246
154,2024-09-20,vs Philadelphia Phillies,4,0,0,0,0,0,0,0,2,0,0.000,0.244
155,2024-09-21,vs Philadelphia Phillies,1,1,1,1,0,0,0,3,0,0,1.000,0.245
156,2024-09-22,vs Philadelphia Phillies,4,0,0,0,0,0,0,0,3,0,0.000,0.244
157,2024-09-24,@ Atlanta Braves,3,0,0,0,0,0,0,1,1,0,0.000,0.242
158,2024-09-27,@ Milwaukee Brewers,4,1,1,0,0,0,0,0,2,0,0.250,0.242
159,2024-09-28,@ Milwaukee Brewers,3,0,0,0,0,0,0,0,1,0,0.000,0.241
160,2024-09-29,@ Milwaukee Brewers,3,0,0,0,0,0,0,1,1,0,0.000,0.240
161,2024-09-30,@ Atlanta Braves,4,1,0,0,0,0,0,0,1,0,0.250,0.240
162,2024-09-30,@ Atlanta Braves,4,1,0,0,0,0,0,0,1,0,0.250,0.240
